dataset,rows,sampled,max_rows,failures,resolution_rate,degree_accuracy,degree_tp,degree_fp,degree_fn,degree_precision,degree_recall,degree_f1,field_accuracy,field_tp,field_fp,field_fn,field_precision,field_recall,field_f1,pair_accuracy,pair_correct,pair_incorrect,pair_precision,pair_recall,pair_f1,micro_f1,macro_f1,elapsed_ms,avg_latency_ms,status_counts
layer1,3718,False,,1356,1.0,0.7614,2831,884,887,0.762,0.7614,0.7617,0.8698,2552,4,480,0.9984,0.8417,0.9134,0.6353,2362,1356,0.6353,0.6353,0.6353,0.8268,0.7837,507.6,0.1365,"{'resolved': 3576, 'review_needed': 30, 'fuzzy_matched': 112}"
layer2,7689,False,,3588,0.9268,0.7392,5684,1082,2005,0.8401,0.7392,0.7864,0.7703,4402,34,1754,0.9923,0.7151,0.8312,0.5334,4101,3588,0.5334,0.5334,0.5334,0.8054,0.7579,41291.1,5.3701,"{'fuzzy_matched': 4913, 'review_needed': 2213, 'unresolved': 563}"
layer3,1116,False,,564,0.9444,0.7581,846,134,270,0.8633,0.7581,0.8073,0.5842,652,6,464,0.9909,0.5842,0.7351,0.4946,552,564,0.4946,0.4946,0.4946,0.7742,0.6825,4386.5,3.9305,"{'review_needed': 822, 'unresolved': 62, 'resolved': 183, 'fuzzy_matched': 49}"
indian_usa,8946,False,,4179,0.7916,0.5329,4767,1716,4179,0.7353,0.5329,0.6179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5329,4767,4179,0.5329,0.5329,0.5329,0.6179,0.3016,29661.9,3.3157,"{'resolved': 1709, 'review_needed': 3879, 'fuzzy_matched': 1494, 'unresolved': 1864}"
indian_uk,8644,False,,3875,0.8023,0.5517,4769,1656,3875,0.7423,0.5517,0.633,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5517,4769,3875,0.5517,0.5517,0.5517,0.633,0.3589,28269.2,3.2704,"{'resolved': 1725, 'review_needed': 3721, 'fuzzy_matched': 1489, 'unresolved': 1709}"
indian_world,16841,False,,11508,0.6753,0.3167,5333,4624,11508,0.5356,0.3167,0.398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3167,5333,11508,0.3167,0.3167,0.3167,0.398,0.1149,60827.2,3.6119,"{'resolved': 1819, 'review_needed': 7674, 'fuzzy_matched': 1880, 'unresolved': 5468}"
